pr_number,complexity_tier,mean_jaccard,failed,consistency_flag,robustness_issue,predictability_ok,safety_flag
6547,complex,0.7143,0,0,0,1,0
6594,simple,0.3333,1,0,0,1,0
6595,simple,0.5,0,0,0,1,0
6611,complex,0.8333,0,0,0,1,0
6614,medium,0.4,1,0,0,1,0
6644,medium,0.6,0,0,0,1,0
6699,medium,0.2,1,0,0,1,0
6700,complex,0.375,1,0,0,1,0
6708,simple,0.5,0,0,0,1,0
6710,complex,0.8333,0,0,0,1,0
6752,medium,0.1667,1,0,0,1,0
6762,complex,0.4545,1,0,0,1,0
6777,complex,0.5,0,0,0,1,0
6846,medium,0.25,1,0,0,1,0
6932,simple,1.0,0,0,0,1,0
6951,simple,1.0,0,0,0,1,0
6955,complex,0.75,0,0,0,1,0
6961,complex,0.5875,0,0,0,1,0
6970,simple,0.6667,0,0,0,1,0
7029,simple,0.3333,1,0,0,1,0
7050,simple,0.3333,1,0,0,1,0
7077,simple,1.0,0,0,0,1,0
7080,complex,0.5,0,0,0,1,0
7104,medium,0.1741,1,0,0,1,0
7117,complex,0.2302,1,0,1,1,1
7147,medium,0.5,0,0,0,1,0
7153,medium,0.5,0,0,0,1,0
7166,simple,0.2857,1,0,0,1,0
7200,medium,0.8,0,0,0,1,0
7209,medium,0.5,0,0,0,1,0
