pr_number,repo,title,type,files_changed,complexity_tier,issue_body_chars,base_commit,merge_commit
6547,tobymao/sqlglot,"feat(databricks, snowflake): support UNIFORM function",feat,6,complex,841,4a5730242787920d0a2412aef495eb2eeaaa2119,980f53852444ec38c45483cbbf63a286244262a6
6594,tobymao/sqlglot,feat(snowflake)!: support transpilation of TRY_TO_BOOLEAN from Snowflake to DuckDB,feat,2,simple,643,8ef9d7b2183589217df10004798fd751d4d618d0,b93291bee7ada32b4d686db919d8d3d683d95425
6595,tobymao/sqlglot,fix(duckdb)!: Fix BQ's `exp.Date` transpilation,fix,2,simple,2303,87fda9db8f5d9abdf69af991b32ec05d929d626a,62c0ef0ad4579a55d65498eddd4e649ae464b559
6611,tobymao/sqlglot,feat(postgres)!: support adjacent ranges operator,feat,6,complex,240,13014e0f01d10f0a078ef8aed4569d3aa8bd741b,d26ff4444fba6697f25efa3dea5ab751fe560f6b
6614,tobymao/sqlglot,feat(snowflake)!: support transpilation of LAST_DAY from Snowflake to Duckdb,feat,3,medium,1549,8f3888746a1f36446544483e920e1287ebf76b4f,870dba41cc88dc9e4802f3695f3f715e0c35e0ed
6644,tobymao/sqlglot,feat(snowflake)!: update transpilation of DATE_TRUNC to duckdb,feat,4,medium,2264,bbcfd8312c357949c350f4ca93ad2c899d7d5774,c9a70c004e0ec563e8a712668a30da9856cb0516
6699,tobymao/sqlglot,"fix(spark, databricks): parse LTRIM/RTRIM",fix,4,medium,363,91b3678c4e2380b3b344cc37643d12528c3e142b,2a3f1fe854746141299303fdae36ce33688722e1
6700,tobymao/sqlglot,"fix(doris, starrocks)!: Fix `UPDATE` statement for multi table updates",fix,6,complex,532,2a3f1fe854746141299303fdae36ce33688722e1,fb8f57ac54a4e0213941f3bd057ccb03c4e125b7
6708,tobymao/sqlglot,"feat(spark,databricks)!: annotate the CURRENT_TIMEZONE",feat,2,simple,427,c447df71a645f55e4798887bde4d42285f5dea4a,769fee258f2467bf610aa0f11290c32f4650bf80
6710,tobymao/sqlglot,feat(oracle): Added support for IN/OUT keywords in stored procedure parameters,feat,6,complex,599,52de0a5c9ebc14c738041e47a385981f072291a9,32ef521167c6b472876bb798fbafa178c37499ca
6752,tobymao/sqlglot,feat(optimizer)!: Annotate `SPACE` function to Hive,feat,3,medium,1196,8f9419b2789f8bfcfd8bfc28832e5195d4e644f2,27460e614e62271a5d1ec5a19e442e685d65c709
6762,tobymao/sqlglot,"feat(databricks,duckdb,postgres,spark,snowflake)!: ARRAY_APPEND null propagation",feat,8,complex,535,8634a8a737d5ee6c40b4d33545e9f928e1e07df4,8cda928b3807685f6de5e89eac12522433cfddd6
6777,tobymao/sqlglot,feat(optimizer)!: parse and annotate bq NET.REG_DOMAIN,feat,6,complex,205,d6ecc7367783d81aab7b6341cd3400ff0edf4794,7f4a1502dd6e039677979b67958e618a15867ed5
6846,tobymao/sqlglot,feat(snowflake)!: Transpilation for Snowflake EDITDISTANCE to Duckdb,feat,3,medium,417,3852e1d6e9bab29b4a9678d06e0583d38232165f,4a7e5a1050b3704295dab11aaec22b238be1659d
6932,tobymao/sqlglot,fix(optimizer)!: Annotate `BIT_LENGTH(expr)` for `DuckDB`,fix,2,simple,502,e750ce7c4ac8235e395fe077c6c9b6d5572affaf,9b05968e23fe94f804d22d77bf91ab44071aea73
